State or Federal Program,,,,,
,,,,,
Row Labels,Sum of  Fatalities,Sum of Injuries,Sum of Penalties (Average $),Average of Fatality Rate,Average of Injuries Rate
Alabama,84,41200,1803,4.3,3.3
Alaska,31,9700,889,8.9,4.6
Arizona,60,54400,891,2.3,3.2
Arkansas,63,26600,2569,5.4,3.2
California,375,345400,6422,2.3,3.5
Connecticut,36,43800,1735,2.1,3.9
Delaware,14,7900,2406,3.1,2.8
Georgia,101,74800,2061,2.5,2.8
Hawaii,20,13700,964,3.4,3.8
Illinois,146,124900,1876,2.5,3.2
Indiana,115,77900,1054,4.2,3.9
Iowa,97,45600,790,6.6,4.5
Kansas,76,33400,1971,5.7,3.6
Kentucky,91,48900,3254,4.9,4.1
Louisiana,116,30600,1765,6.4,2.3
Maine,19,21200,2083,3.2,5.6
Maryland,72,51900,685,2.6,3.1
Massachusetts,44,69700,1929,1.4,3.1
Michigan,137,105500,542,3.4,4
Minnesota,70,67500,768,2.6,3.8
Missouri,88,60300,1931,3.3,3.3
Montana,34,13300,1983,7.3,5
Nebraska,48,24300,2565,5.2,3.9
Nevada,42,32400,2133,3.6,4.1
New Jersey,92,80900,2151,2.4,3.1
New Mexico,39,19900,998,4.8,3.9
New York,202,146300,2016,2.4,2.5
North Carolina,146,75900,996,3.5,2.9
Ohio,161,113600,2156,3.1,3.2
Oklahoma,97,39000,1872,6.1,3.6
Oregon,43,42900,363,2.6,3.9
Pennsylvania,194,155300,1916,3.4,3.9
South Carolina,63,36200,492,3.5,3
Tennessee,101,65100,727,3.8,3.5
Texas,536,203200,2187,4.8,2.7
Utah,39,27700,1053,3,3.4
Vermont,11,9900,1008,3.5,5
Virginia,149,66200,726,3.8,2.7
Washington,67,89300,791,2.2,4.8
West Virginia,49,19800,1798,6.9,4.1
Wisconsin,114,72900,2207,4,4
Wyoming,35,6500,1777,12.2,3.5
Florida,218,47250,1821,2.7,3.5
New Hampshire,14,47250,2243,2.2,3.5
South Dakota,31,47250,2346,6.7,3.5
Colorado,82,47250,1649,3.5,3.5
Idaho,19,47250,1449,2.7,3.5
Mississippi,63,47250,1515,5.5,3.5
Rhode Island,8,47250,2023,1.7,3.5
North Dakota,65,47250,3045,17.7,3.5
Grand Total,4617,3073500,86394,4.318,3.606
