State, Fatalities,Fatality Rate,Fatality Rank,Injuries,Injuries Rate,Penalties (Average $),Penalties (Rank),Inspectors,Years to Inspect ,State or Federal Program
South Carolina,63,3.5,25,36200,3,492,49,24,111,State
West Virginia,49,6.9,46,19800,4.1,1798,27,7,173,Federal
Massachusetts,44,1.4,1,69700,3.1,1929,21,33,123,Federal
Tennessee,101,3.8,30,65100,3.5,727,45,30,82,State
Oklahoma,97,6.1,42,39000,3.6,1872,24,19,131,Federal
Illinois,146,2.5,10,124900,3.2,1876,23,74,137,Federal
Nebraska,48,5.2,38,24300,3.9,2565,5,9,128,Federal
Delaware,14,3.1,18,7900,2.8,2406,6,5,175,Federal
Hawaii,20,3.4,22,13700,3.8,964,39,20,79,State
Iowa,97,6.6,44,45600,4.5,790,43,26,98,State
Arizona,60,2.3,6,54400,3.2,891,40,30,126,State
Florida,218,2.7,15,47250,3.5,1821,25,60,238,Federal
Virginia,149,3.8,30,66200,2.7,726,46,48,82,State
Missouri,88,3.3,21,60300,3.3,1931,20,26,118,Federal
Michigan,137,3.4,22,105500,4,542,48,63,45,State
Indiana,115,4.2,33,77900,3.9,1054,34,39,104,State
North Carolina,146,3.5,25,75900,2.9,996,38,104,60,State
New Hampshire,14,2.2,4,47250,3.5,2243,8,7,119,Federal
New Mexico,39,4.8,35,19900,3.9,998,37,9,191,State
Pennsylvania,194,3.4,22,155300,3.9,1916,22,57,125,Federal
South Dakota,31,6.7,45,47250,3.5,2346,7,26,521,Federal
New York,202,2.4,8,146300,2.5,2016,17,105,184,Federal
Utah,39,3,17,27700,3.4,1053,35,22,81,State
Maine,19,3.2,20,21200,5.6,2083,14,8,80,Federal
Montana,34,7.3,47,13300,5,1983,18,7,135,Federal
Vermont,11,3.5,25,9900,5,1008,36,9,68,State
Arkansas,63,5.4,39,26600,3.2,2569,4,9,237,Federal
Nevada,42,3.6,29,32400,4.1,2133,13,44,49,State
Kentucky,91,4.9,37,48900,4.1,3254,2,39,124,State
Maryland,72,2.6,12,51900,3.1,685,47,48,108,State
Alabama,84,4.3,34,41200,3.3,1803,26,24,94,Federal
Connecticut,36,2.1,3,43800,3.9,1735,30,24,107,Federal
Oregon,43,2.6,12,42900,3.9,363,50,75,31,State
Colorado,82,3.5,25,47250,3.5,1649,31,28,122,Federal
Ohio,161,3.1,18,113600,3.2,2156,11,53,112,Federal
Wyoming,35,12.2,49,6500,3.5,1777,28,9,101,State
Minnesota,70,2.6,12,67500,3.8,768,44,58,57,State
Kansas,76,5.7,41,33400,3.6,1971,19,16,110,Federal
Idaho,19,2.7,15,47250,3.5,1449,33,9,108,Federal
Washington,67,2.2,4,89300,4.8,791,42,111,50,State
Wisconsin,114,4,32,72900,4,2207,9,36,104,Federal
Mississippi,63,5.5,40,47250,3.5,1515,32,14,112,Federal
Louisiana,116,6.4,43,30600,2.3,1765,29,16,206,Federal
Georgia,101,2.5,10,74800,2.8,2061,15,49,138,Federal
Rhode Island,8,1.7,2,47250,3.5,2023,16,7,103,Federal
Alaska,31,8.9,48,9700,4.6,889,41,11,58,State
New Jersey,92,2.4,8,80900,3.1,2151,12,67,123,Federal
North Dakota,65,17.7,50,47250,3.5,3045,3,8,111,Federal
Texas,536,4.8,35,203200,2.7,2187,10,98,136,Federal
California,375,2.3,6,345400,3.5,6422,1,216,179,State
